Order Date,Region,Category,Sales,Profit
2023-02-24,South,Office Supplies,1360.1,351.91
2022-01-06,Central,Office Supplies,820.08,139.19
2023-11-28,South,Office Supplies,2065.95,593.68
2020-08-28,South,Technology,158.09,15.36
2022-08-07,West,Furniture,2539.18,561.21
2020-11-22,West,Furniture,474.0,-81.88
2023-05-10,Central,Office Supplies,3798.9,973.89
2022-08-07,East,Technology,4087.52,866.24
2022-01-21,East,Technology,1298.28,-165.24
2021-06-24,West,Technology,743.2,68.13
2020-01-08,South,Technology,532.92,48.13
2020-10-28,South,Technology,2201.23,323.57
2020-10-31,South,Office Supplies,1526.13,240.09
2022-07-23,East,Furniture,384.46,56.7
2021-08-30,East,Furniture,3895.14,-374.64
2022-02-07,East,Furniture,3943.45,332.72
2023-06-15,East,Technology,2732.65,77.52
2021-08-17,West,Office Supplies,3052.49,781.54
2023-05-21,East,Technology,4959.81,-370.81
2020-06-24,West,Office Supplies,868.92,-15.74
2022-02-21,West,Office Supplies,2922.43,77.86
2020-07-26,South,Technology,3663.27,83.8
2020-12-06,West,Office Supplies,204.08,55.29
2023-04-01,Central,Office Supplies,1355.67,-253.11
2023-04-06,West,Office Supplies,1328.74,66.52
2021-08-01,East,Furniture,3777.86,356.47
2022-11-30,West,Technology,2145.06,229.26
2023-12-28,West,Technology,2354.9,-441.08
2022-12-02,West,Technology,2520.68,679.04
2023-03-16,South,Furniture,4611.93,-621.06
2021-05-08,West,Office Supplies,4217.32,-103.73
2021-09-14,South,Office Supplies,3822.14,125.12
2022-05-26,West,Technology,4511.9,800.55
2023-04-23,West,Furniture,2673.37,658.16
2022-10-20,South,Furniture,828.76,-68.43
2020-08-03,Central,Technology,4342.97,1108.46
2023-05-27,Central,Technology,2567.04,-213.45
2023-05-28,Central,Technology,1449.15,-170.41
2022-09-22,West,Furniture,1127.68,-58.73
2022-02-24,South,Technology,709.6,29.14
2020-04-06,West,Office Supplies,3902.33,210.47
2021-12-27,Central,Technology,2171.72,436.36
2021-06-22,South,Furniture,1687.0,119.12
2023-01-04,West,Technology,1068.88,98.56
2022-08-04,South,Office Supplies,2567.29,191.28
2023-02-06,West,Furniture,429.27,67.21
2023-04-12,West,Furniture,4999.95,460.74
2023-04-05,West,Furniture,4751.28,-208.46
2023-06-09,East,Office Supplies,1976.71,-144.5
2021-08-09,South,Technology,3840.6,-146.57
2022-11-27,West,Office Supplies,4931.39,-755.45
2022-08-02,Central,Office Supplies,2257.26,545.78
2020-09-02,East,Office Supplies,559.65,142.43
2020-12-19,West,Furniture,2246.59,76.84
2020-09-16,West,Office Supplies,539.31,-100.53
2020-08-11,Central,Technology,4261.96,794.16
2023-03-04,Central,Furniture,4202.66,260.93
2022-09-06,Central,Office Supplies,1532.53,374.59
2021-02-06,Central,Technology,2732.16,13.15
2023-09-11,Central,Technology,4172.44,-509.53
2023-04-29,Central,Technology,4098.96,895.75
2020-12-21,West,Furniture,1733.93,-266.01
2021-06-18,West,Technology,1527.65,432.28
2020-02-03,West,Technology,4140.8,1129.88
2022-11-07,South,Technology,2332.62,-16.2
2022-09-16,East,Technology,456.86,-2.53
2023-06-25,Central,Office Supplies,4436.6,81.17
2023-01-14,West,Technology,4523.61,1000.75
2023-05-06,East,Furniture,1893.69,314.42
2023-11-15,West,Technology,728.86,-104.1
2020-03-18,Central,Office Supplies,1886.96,153.1
2020-08-03,West,Furniture,1145.49,7.1
2023-12-11,Central,Office Supplies,2525.26,-324.1
2023-01-21,South,Technology,4804.23,66.56
2020-11-29,South,Furniture,4261.97,-623.91
2021-07-06,West,Office Supplies,577.2,-11.96
2023-03-20,Central,Technology,4775.5,-558.67
2020-09-16,East,Furniture,1014.76,42.11
2020-05-05,South,Furniture,3350.19,734.13
2021-09-14,South,Furniture,4908.56,1391.59
2022-08-18,West,Furniture,3555.14,1028.08
2023-09-05,South,Furniture,3798.43,381.03
2023-06-05,East,Technology,4750.03,737.92
2022-05-29,West,Office Supplies,1805.47,371.65
2022-03-27,Central,Technology,1480.35,171.45
2020-08-24,West,Technology,366.15,-19.49
2020-03-27,East,Office Supplies,4777.65,549.68
2020-04-24,South,Technology,3995.4,-727.98
2022-07-07,East,Technology,3154.64,-319.48
2023-03-01,Central,Furniture,4443.98,940.04
2021-06-24,West,Furniture,169.46,-13.82
2022-04-26,West,Technology,1468.07,378.05
2021-02-12,East,Technology,58.48,6.36
2021-05-12,South,Office Supplies,3500.65,421.06
2021-04-25,Central,Technology,2120.96,-179.56
2023-01-13,West,Technology,4874.18,389.13
2022-07-02,East,Furniture,994.8,-61.94
2020-05-23,South,Technology,2679.44,612.25
2021-07-01,East,Office Supplies,2647.33,222.98
2022-05-03,East,Technology,4539.01,-712.09
2021-02-05,East,Furniture,4899.02,787.48
2022-02-05,West,Office Supplies,728.06,-46.88
2021-03-01,South,Office Supplies,4894.51,-222.28
2023-02-14,East,Technology,2963.8,835.16
2023-09-06,South,Technology,1781.96,496.76
2023-01-17,Central,Technology,860.98,249.37
2023-01-27,West,Office Supplies,1509.93,39.22
2021-08-04,West,Furniture,3959.51,949.62
2022-11-09,West,Office Supplies,4524.78,970.48
2020-03-23,South,Office Supplies,1012.74,188.03
2020-07-19,Central,Furniture,3153.45,34.49
2022-04-23,East,Furniture,771.41,114.51
2022-02-04,Central,Technology,1238.65,-88.94
2021-10-03,Central,Technology,4151.77,772.87
2023-11-12,Central,Furniture,1612.28,-17.16
2022-06-23,Central,Technology,3707.76,-423.07
2020-02-02,Central,Technology,2283.87,-64.51
2023-12-16,South,Technology,2346.2,304.74
2021-10-13,Central,Technology,2904.32,319.61
2021-02-13,West,Technology,1736.51,-286.29
2020-11-02,West,Technology,2147.39,-347.17
2023-03-30,South,Office Supplies,4353.52,-734.77
2023-11-26,East,Office Supplies,3458.58,-148.13
2020-11-30,East,Furniture,833.3,-157.15
2020-07-02,South,Furniture,1489.41,59.32
2020-11-12,Central,Furniture,3873.08,-255.03
2020-09-04,South,Office Supplies,4673.79,-508.31
2021-10-28,East,Furniture,105.38,9.84
2020-05-20,West,Technology,4312.23,719.99
2023-03-01,South,Furniture,4785.72,1292.5
2023-12-14,South,Office Supplies,3828.11,706.98
2020-12-10,Central,Office Supplies,2030.03,61.8
2021-06-21,West,Technology,1366.2,42.29
2022-09-11,South,Office Supplies,3005.58,-99.64
2022-03-12,East,Office Supplies,391.69,51.22
2023-04-03,South,Office Supplies,4717.69,1135.88
2021-06-25,South,Technology,4276.76,388.17
2021-10-23,South,Office Supplies,1199.06,231.05
2020-12-23,South,Furniture,144.36,-2.49
2020-12-24,East,Furniture,2826.0,468.36
2021-07-24,Central,Technology,2337.31,598.92
2020-04-23,Central,Furniture,3600.35,-623.74
2023-09-17,East,Technology,195.15,-6.37
2023-10-03,South,Furniture,4830.8,1101.06
2021-12-11,West,Technology,1193.31,240.5
2020-08-31,East,Office Supplies,3532.86,304.93
2020-09-02,Central,Technology,961.6,78.54
2023-03-09,East,Furniture,2354.19,-428.84
2020-07-14,Central,Furniture,4089.01,60.99
2022-01-20,East,Technology,2506.74,-92.36
2020-04-21,South,Furniture,4108.78,709.23
2021-10-18,South,Technology,639.8,170.81
2021-06-02,South,Technology,1420.12,2.47
2020-12-24,East,Office Supplies,4471.61,443.93
2023-10-26,Central,Furniture,779.15,-76.78
2023-10-29,East,Furniture,734.87,-19.56
2022-08-29,Central,Furniture,4765.47,608.81
2022-09-12,South,Technology,2972.01,8.58
2022-05-26,East,Furniture,262.51,62.6
2022-03-31,West,Technology,2974.22,485.97
2020-11-13,Central,Office Supplies,2272.31,-198.27
2022-06-02,Central,Technology,920.52,137.05
2023-07-06,East,Technology,3763.84,970.59
2023-07-20,East,Office Supplies,2523.15,461.84
2022-10-13,East,Office Supplies,1562.47,356.01
2022-05-10,East,Office Supplies,2746.64,438.23
2020-12-29,East,Office Supplies,4409.61,640.8
2020-01-30,East,Office Supplies,1648.47,306.1
2020-02-26,South,Technology,1192.4,-134.04
2022-12-16,South,Office Supplies,4431.09,-149.56
2023-02-16,South,Technology,510.69,10.87
2023-01-10,West,Furniture,2441.47,-397.31
2023-07-26,Central,Furniture,4919.13,-214.64
2021-07-30,Central,Office Supplies,4603.06,799.03
2021-06-22,East,Technology,3996.77,194.72
2020-12-11,East,Furniture,4483.22,-582.0
2021-04-08,Central,Furniture,3372.57,391.97
2023-12-10,West,Technology,1032.63,-38.16
2022-05-03,South,Office Supplies,496.36,141.12
2023-08-01,West,Technology,4525.55,1191.22
2022-11-23,East,Furniture,991.67,-28.5
2022-11-16,East,Furniture,543.29,-15.18
2020-04-17,West,Furniture,2827.13,365.82
2023-12-29,West,Furniture,3950.49,827.74
2022-03-04,Central,Office Supplies,1898.14,-267.78
2020-07-15,West,Office Supplies,4183.07,-524.12
2020-06-25,West,Technology,822.85,-30.91
2022-03-22,West,Technology,2215.45,-94.49
2022-11-15,East,Furniture,3242.91,589.88
2021-07-26,Central,Furniture,1810.96,285.97
2023-11-26,Central,Furniture,4468.52,-323.59
2022-03-04,South,Office Supplies,1543.25,298.02
2020-07-30,West,Office Supplies,1900.58,248.54
2021-10-25,Central,Technology,3560.58,-352.71
2020-12-21,West,Office Supplies,1564.55,-201.18
2020-11-21,East,Furniture,1986.31,-355.89
2020-03-21,East,Technology,4476.68,1257.1
2021-10-08,East,Furniture,2389.49,-271.51
2023-11-18,South,Furniture,4047.88,78.03
2023-06-14,West,Office Supplies,2736.57,437.25
2020-06-13,West,Technology,322.99,75.44
2022-01-03,West,Furniture,552.07,98.5
2023-07-26,West,Office Supplies,956.3,110.61
2021-12-12,South,Technology,4772.82,883.91
2023-02-02,South,Technology,4013.43,-270.8
2023-04-03,East,Technology,4778.18,-842.24
2022-12-01,South,Furniture,3214.68,442.92
2020-02-07,East,Technology,1259.43,-159.63
2022-12-17,Central,Furniture,754.33,-1.38
2023-05-22,East,Furniture,4968.04,447.55
2022-07-30,Central,Technology,1425.1,185.07
2023-01-15,Central,Furniture,2367.61,626.07
2020-05-04,West,Furniture,433.8,-43.47
2022-02-10,South,Furniture,2470.85,140.67
2021-02-14,West,Office Supplies,4027.36,800.78
2023-06-11,West,Technology,1594.07,185.71
2021-10-07,South,Office Supplies,1133.25,-214.37
2020-11-30,West,Furniture,4307.56,-43.43
2023-10-16,South,Office Supplies,1806.03,357.95
2023-07-12,East,Technology,1661.61,-189.71
2021-06-05,South,Technology,472.19,55.13
2020-06-29,West,Office Supplies,2765.41,450.73
2020-02-13,South,Office Supplies,3932.68,-120.58
2022-08-19,South,Technology,2477.5,-391.22
2020-09-20,West,Technology,992.48,188.56
2023-07-12,West,Office Supplies,3000.98,-141.6
2020-02-25,West,Furniture,202.87,12.47
2022-09-19,South,Office Supplies,341.5,-24.87
2021-02-23,Central,Furniture,4538.62,731.44
2022-11-07,East,Technology,2864.26,474.27
2021-02-19,West,Office Supplies,3672.48,-519.66
2021-08-05,Central,Office Supplies,2775.79,-192.64
2021-02-18,West,Technology,130.37,-20.03
2020-08-25,East,Office Supplies,2270.48,501.12
2023-07-08,East,Furniture,3326.98,-341.78
2020-05-25,West,Office Supplies,4399.33,786.01
2022-04-11,Central,Furniture,494.02,90.67
2020-10-15,Central,Office Supplies,3130.72,-290.47
2020-11-06,West,Office Supplies,3287.07,938.15
2020-10-28,Central,Office Supplies,4774.44,573.1
2023-10-13,South,Office Supplies,1743.86,14.71
2020-07-09,West,Technology,3437.34,89.82
2023-08-02,South,Office Supplies,2120.81,-358.14
2021-05-04,West,Office Supplies,579.89,4.99
2023-08-29,East,Furniture,2223.73,-71.53
2023-03-24,West,Technology,2031.42,39.94
2023-08-01,West,Technology,327.03,-64.52
2023-04-08,East,Furniture,1275.92,-96.22
2020-01-07,East,Office Supplies,1992.65,430.86
2020-07-24,Central,Furniture,161.65,-31.0
2020-06-05,West,Technology,1363.55,404.85
2021-02-20,South,Office Supplies,2228.47,-308.38
2023-03-24,Central,Office Supplies,4041.29,205.06
2020-01-12,East,Office Supplies,1451.96,297.41
2022-05-02,East,Office Supplies,4638.07,-110.96
2022-06-09,South,Office Supplies,828.99,18.08
2023-02-17,East,Office Supplies,3754.93,254.97
2021-01-10,East,Office Supplies,1402.8,399.0
2023-05-16,South,Office Supplies,3770.32,968.91
2020-07-10,East,Furniture,730.93,-7.5
2023-03-30,East,Office Supplies,920.2,-5.67
2022-12-09,West,Technology,4498.6,550.73
2023-01-11,East,Office Supplies,3385.38,-587.97
2023-06-12,South,Furniture,1368.93,25.72
2022-10-07,West,Furniture,2967.27,545.33
2020-09-17,East,Furniture,2830.79,414.41
2021-11-22,Central,Technology,4868.45,1334.43
2020-01-26,East,Office Supplies,2363.33,308.15
2020-09-24,West,Office Supplies,1795.68,-105.98
2022-09-13,West,Furniture,2734.99,-422.23
2020-02-14,South,Furniture,4535.8,-593.92
2020-08-17,West,Technology,3920.06,68.15
2022-04-03,Central,Furniture,3411.86,-450.62
2022-10-29,West,Office Supplies,3174.36,902.47
2021-04-02,South,Technology,4309.22,-29.08
2021-05-10,West,Technology,1062.0,-28.21
2023-12-02,West,Office Supplies,2270.09,561.28
2023-01-13,South,Furniture,2282.41,374.87
2020-01-14,East,Technology,982.45,141.84
2020-07-21,Central,Technology,2649.07,516.07
2023-09-21,West,Furniture,4944.3,871.2
2020-08-15,West,Office Supplies,727.02,186.1
2021-08-07,South,Office Supplies,4426.42,-807.58
2021-04-13,South,Furniture,4776.33,711.11
2020-12-27,East,Technology,4883.4,271.72
2022-07-17,East,Furniture,1128.46,-119.34
2021-02-26,East,Office Supplies,2661.85,150.44
2023-12-13,South,Technology,3638.72,504.06
2021-10-25,East,Furniture,580.52,126.43
2023-11-25,South,Furniture,4326.83,566.82
2023-07-30,South,Technology,4461.8,-728.29
2020-01-04,South,Office Supplies,260.23,43.89
2022-02-03,West,Technology,4761.88,810.09
2021-05-27,Central,Furniture,3812.01,-16.21
2023-02-22,East,Furniture,515.04,96.83
2023-01-12,Central,Furniture,1012.51,-168.39
2023-01-31,East,Furniture,4163.89,264.64
2022-12-29,Central,Furniture,4067.08,-616.4
2021-07-26,Central,Technology,4547.03,510.15
2020-12-20,South,Technology,1202.85,-197.2
2020-06-24,East,Technology,1987.27,-283.34
2020-02-18,East,Technology,4549.83,403.4
2022-03-05,West,Furniture,586.72,-48.58
2020-10-20,East,Furniture,207.12,30.96
2021-03-13,South,Office Supplies,870.87,55.07
2020-03-24,East,Furniture,4374.28,-726.23
2023-09-20,South,Office Supplies,427.55,110.43
2022-02-02,Central,Furniture,4085.15,496.26
2021-07-03,Central,Technology,2298.65,275.3
2022-10-09,West,Technology,3924.81,608.28
2021-12-11,Central,Office Supplies,598.29,145.44
2020-06-20,East,Furniture,4780.28,1117.06
2020-06-07,East,Office Supplies,133.18,-5.79
2020-08-30,West,Office Supplies,3830.1,647.47
2020-09-23,Central,Furniture,3317.75,542.35
2020-05-24,East,Technology,1955.45,506.8
2020-05-09,East,Furniture,2669.12,712.41
2020-05-25,Central,Technology,3656.26,-567.06
2020-01-04,South,Technology,515.14,75.27
2021-07-02,East,Office Supplies,61.52,-2.15
2021-09-13,West,Office Supplies,2482.73,-350.5
2023-02-17,West,Technology,857.42,-98.35
2022-05-22,South,Furniture,414.44,108.35
2022-10-30,Central,Furniture,4628.4,613.08
2022-10-19,East,Technology,3691.7,345.5
2020-06-07,West,Furniture,601.79,96.19
2020-01-26,South,Office Supplies,4541.97,106.37
2022-03-24,Central,Office Supplies,3200.1,-600.15
2021-05-16,East,Furniture,4328.42,-282.07
2022-10-08,Central,Furniture,3171.88,939.22
2021-07-12,Central,Technology,4354.15,660.6
2021-10-25,South,Office Supplies,3551.96,-431.07
2021-07-04,East,Technology,1508.98,85.22
2021-04-06,Central,Technology,3045.56,828.48
2023-02-27,East,Office Supplies,2438.83,-432.78
2022-01-13,South,Office Supplies,449.63,70.26
2023-02-12,Central,Office Supplies,2144.04,-376.39
2022-03-25,South,Technology,1311.33,-31.77
2023-06-21,West,Office Supplies,1663.6,177.29
2020-05-21,South,Technology,257.66,-29.3
2022-04-28,East,Furniture,4485.23,986.16
2022-03-07,East,Technology,2143.0,153.66
2022-03-02,Central,Furniture,2807.86,-500.29
2021-11-03,West,Office Supplies,2127.55,-80.67
2023-09-29,Central,Office Supplies,3656.96,-557.09
2020-12-11,East,Furniture,1708.6,174.1
2022-04-01,South,Technology,2065.79,282.75
2021-07-11,East,Office Supplies,2743.59,626.09
2023-06-23,East,Technology,4433.54,415.72
2023-01-07,Central,Office Supplies,187.89,54.25
2021-12-30,Central,Furniture,1780.43,79.91
2022-03-20,Central,Technology,1645.42,-246.59
2022-07-13,West,Furniture,2689.81,623.24
2022-05-03,West,Furniture,1087.7,129.01
2022-06-26,Central,Office Supplies,2294.93,100.0
2021-05-28,West,Technology,1435.55,-122.83
2020-11-12,South,Technology,4900.72,-272.82
2023-08-03,South,Technology,1258.95,259.47
2020-07-24,Central,Technology,3069.7,-260.6
2023-05-18,South,Furniture,4987.92,-322.47
2021-07-10,West,Office Supplies,2143.74,-305.15
2022-11-27,South,Technology,4592.1,357.43
2020-08-15,South,Technology,3384.47,631.77
2021-09-11,Central,Furniture,2001.46,345.69
2022-02-04,South,Technology,4715.04,63.5
2022-11-24,West,Furniture,4306.31,391.51
2022-07-09,Central,Office Supplies,774.49,183.61
2021-10-16,Central,Furniture,2051.11,204.35
2023-03-06,South,Technology,2988.69,-549.78
2022-12-01,South,Technology,3742.73,809.11
2021-06-22,Central,Office Supplies,4630.77,1179.67
2020-11-12,West,Office Supplies,3955.2,480.46
2020-04-06,South,Furniture,2656.66,-28.82
2023-06-06,Central,Technology,3330.02,99.54
2023-07-01,East,Technology,4373.73,1056.93
2023-10-27,South,Office Supplies,3047.85,-595.39
2021-04-30,West,Furniture,3914.93,409.26
2022-02-14,West,Furniture,3405.23,462.66
2020-02-24,West,Technology,1929.84,289.95
2020-02-02,West,Office Supplies,3921.6,-773.02
2022-01-11,Central,Technology,1321.33,-186.24
2020-07-23,Central,Office Supplies,971.6,-149.46
2021-09-26,West,Technology,4311.06,-719.82
2021-04-28,West,Technology,345.77,-68.65
2022-10-26,West,Furniture,4813.73,166.81
2022-03-20,Central,Technology,1323.41,36.18
2022-01-17,South,Furniture,4066.57,573.4
2021-09-12,South,Furniture,2510.38,317.96
2022-03-11,South,Furniture,1761.66,-195.5
2022-12-04,Central,Furniture,854.22,237.59
2023-04-22,Central,Furniture,3471.21,218.06
2022-12-30,West,Furniture,2837.09,-339.85
2021-08-11,East,Office Supplies,2284.85,-221.2
2023-03-12,Central,Furniture,472.51,10.9
2021-04-19,Central,Furniture,746.85,70.34
2020-08-13,Central,Office Supplies,3321.04,174.9
2021-07-16,West,Technology,471.53,48.75
2021-04-15,East,Technology,878.78,202.4
2022-10-11,West,Technology,431.45,29.21
2023-12-05,East,Furniture,862.94,144.43
2023-07-16,South,Office Supplies,2246.26,-41.03
2023-06-12,South,Furniture,2370.76,77.53
2022-12-22,East,Office Supplies,343.68,-33.54
2022-12-02,West,Furniture,67.62,0.83
2021-02-14,East,Furniture,469.03,139.79
2020-06-09,West,Furniture,3066.79,-397.0
2022-01-04,East,Office Supplies,1329.15,86.07
2022-05-19,East,Technology,3423.36,350.16
2023-12-02,South,Furniture,4602.85,-378.2
2021-01-31,West,Technology,3387.1,-569.13
2021-07-05,East,Technology,3253.1,439.59
2021-02-10,Central,Furniture,1675.01,-220.15
2022-01-23,East,Technology,2450.7,86.04
2022-12-12,East,Office Supplies,1209.93,-178.65
2020-02-13,West,Furniture,2090.84,309.06
2023-10-15,West,Technology,2145.76,165.48
2021-05-20,West,Furniture,73.4,-7.25
2020-01-14,Central,Furniture,3142.32,785.8
2021-07-23,East,Technology,3603.74,-204.89
2023-04-02,West,Furniture,1991.32,-122.75
2022-01-06,South,Office Supplies,3155.35,171.82
2020-07-27,East,Furniture,488.78,-14.45
2020-10-04,East,Office Supplies,2483.4,152.8
2020-06-29,East,Furniture,883.02,177.49
2020-02-22,Central,Office Supplies,1401.85,-118.52
2023-07-21,South,Office Supplies,3609.27,-206.17
2021-05-13,Central,Technology,4980.54,1375.5
2022-10-15,East,Office Supplies,976.57,-71.18
2022-03-07,East,Furniture,3355.39,134.6
2023-12-23,South,Technology,4259.86,375.69
2023-01-14,Central,Office Supplies,2526.72,511.59
2023-10-12,South,Office Supplies,4529.58,-893.24
2022-01-18,Central,Office Supplies,3805.89,810.82
2023-02-14,Central,Office Supplies,2116.87,601.0
2023-03-08,East,Furniture,4683.93,-478.3
2020-10-10,East,Furniture,2710.45,-286.66
2020-07-17,East,Technology,1918.85,451.32
2021-01-03,West,Technology,2592.66,-192.24
2020-07-17,South,Furniture,3798.03,-76.89
2021-11-22,South,Office Supplies,4459.69,912.12
2023-02-13,West,Furniture,1953.21,-7.89
2021-06-01,South,Office Supplies,351.13,40.39
2020-04-19,West,Technology,1566.67,-294.58
2023-11-29,East,Furniture,4703.5,-602.92
2023-07-19,West,Furniture,3099.8,-522.07
2021-05-04,East,Technology,3790.84,534.3
2022-11-24,West,Technology,2663.95,267.52
2023-05-26,West,Office Supplies,2134.86,45.43
2020-08-05,East,Furniture,4094.35,1001.11
2022-10-25,West,Office Supplies,4694.17,-198.33
2022-06-06,East,Office Supplies,2211.98,-134.48
2022-02-25,West,Furniture,1929.98,-239.67
2020-01-13,South,Technology,298.63,61.84
2023-03-07,Central,Office Supplies,2680.17,-142.9
2021-01-24,South,Furniture,1350.74,239.6
2021-12-07,Central,Furniture,67.33,-4.14
2020-01-02,West,Technology,2781.41,-320.41
2020-10-09,Central,Office Supplies,4012.42,-32.18
2020-04-12,East,Office Supplies,4291.54,-314.35
2023-04-20,Central,Technology,88.35,-6.78
2022-12-19,Central,Office Supplies,2189.26,-240.22
2021-07-12,West,Technology,2024.14,23.41
2023-03-07,East,Furniture,3430.35,494.77
2023-05-26,East,Office Supplies,2209.76,293.05
2022-05-11,East,Furniture,724.8,58.87
2022-03-30,Central,Furniture,1441.09,-8.93
2023-09-15,East,Furniture,873.61,168.88
2021-08-11,South,Technology,112.96,26.41
2022-10-15,South,Office Supplies,2223.29,231.73
2022-11-04,West,Furniture,2752.07,-80.74
2022-08-04,Central,Furniture,4835.87,802.02
2022-07-08,South,Furniture,833.51,166.94
2020-06-23,South,Office Supplies,1664.89,323.08
2022-12-27,East,Office Supplies,4638.55,611.4
2020-12-22,South,Technology,4397.06,-725.43
2021-04-16,Central,Technology,1976.29,287.78
2020-04-20,East,Technology,2865.01,653.81
2021-03-23,West,Office Supplies,2394.64,-3.26
2022-09-23,South,Technology,4486.16,819.79
2022-01-02,East,Office Supplies,287.2,73.92
2021-12-29,West,Furniture,1255.81,-43.27
2021-10-02,South,Furniture,2906.09,667.56
2023-12-25,South,Furniture,574.97,-10.89
2022-04-15,South,Office Supplies,108.51,13.98
2020-07-08,East,Technology,2947.93,-340.98
2021-03-09,West,Office Supplies,2228.54,471.09
2023-01-01,South,Furniture,3491.01,-255.31
2023-08-12,South,Furniture,2802.81,220.67
2021-07-04,East,Technology,1786.65,462.47
2021-10-24,East,Office Supplies,3793.94,-529.74
2020-04-30,East,Furniture,3673.61,80.09
2022-04-09,Central,Office Supplies,4963.85,208.43
2023-04-30,Central,Furniture,2725.92,-445.07
2021-05-14,East,Technology,508.63,-16.74
2022-10-11,South,Technology,2526.39,-190.2
2021-05-24,South,Furniture,4023.39,1117.95
2021-06-10,Central,Technology,718.55,-129.82
2021-04-10,South,Office Supplies,1306.61,40.32
2021-03-03,Central,Technology,57.58,10.65
2021-01-25,South,Furniture,4458.16,743.18
2021-11-14,West,Technology,2626.72,674.81
2022-03-01,South,Technology,2162.93,-10.91
2022-01-17,West,Office Supplies,3177.45,-282.96
2021-04-11,South,Office Supplies,1005.55,64.57
